,charge,0
279,179.5,0.00599
280,180.5,0.005915
281,181.5,0.005839
282,182.5,0.005761
283,183.5,0.005682
284,184.5,0.005602
285,185.5,0.005521
286,186.5,0.005439
287,187.5,0.005356
288,188.5,0.005273
289,189.5,0.005188
290,190.5,0.005103
291,191.5,0.005018
292,192.5,0.004932
293,193.5,0.004846
294,194.5,0.004759
295,195.5,0.004672
296,196.5,0.004585
297,197.5,0.004499
298,198.5,0.004397
299,199.5,0.004308
300,200.5,0.00422
301,201.5,0.004132
302,202.5,0.004045
303,203.5,0.003957
304,204.5,0.00387
305,205.5,0.003783
306,206.5,0.0036969999999999
307,207.5,0.003611
308,208.5,0.0035259999999999
309,209.5,0.003442
310,210.5,0.003358
311,211.5,0.003275
312,212.5,0.003193
313,213.5,0.003111
314,214.5,0.003031
315,215.5,0.002951
316,216.5,0.002872
317,217.5,0.002794
318,218.5,0.002718
319,219.5,0.002642
320,220.5,0.002567
321,221.5,0.002494
322,222.5,0.0024219999999999
323,223.5,0.00235
324,224.5,0.00228
325,225.5,0.002212
326,226.5,0.002144
327,227.5,0.002078
328,228.5,0.002013
329,229.5,0.0019489999999999
330,230.5,0.0018859999999999
331,231.5,0.001825
332,232.5,0.0017649999999999
333,233.5,0.0017059999999999
334,234.5,0.0016489999999999
335,235.5,0.001593
336,236.5,0.001538
337,237.5,0.001484
338,238.5,0.001432
339,239.5,0.001381
340,240.5,0.001332
341,241.5,0.001283
342,242.5,0.001236
343,243.5,0.00119
344,244.5,0.001145
345,245.5,0.001102
346,246.5,0.00106
347,247.5,0.001019
348,248.5,0.0009789999999999
349,249.5,0.000941
350,250.5,0.0009029999999999
351,251.5,0.000867
352,252.5,0.000832
353,253.5,0.000798
354,254.5,0.000765
355,255.5,0.000733
356,256.5,0.0007019999999999
357,257.5,0.000672
358,258.5,0.000643
359,259.5,0.000616
360,260.5,0.000589
361,261.5,0.000563
362,262.5,0.000538
363,263.5,0.0005139999999999
364,264.5,0.000491
365,265.5,0.000468
366,266.5,0.0004469999999999
367,267.5,0.000426
368,268.5,0.0004059999999999
369,269.5,0.000387
370,270.5,0.0003689999999999
371,271.5,0.0003509999999999
372,272.5,0.000334
373,273.5,0.000318
374,274.5,0.000302
375,275.5,0.000287
376,276.5,0.000273
377,277.5,0.000259
378,278.5,0.000246
379,279.5,0.000234
380,280.5,0.000222
381,281.5,0.00021
382,282.5,0.000199
383,283.5,0.0001889999999999
384,284.5,0.000179
385,285.5,0.0001699999999999
386,286.5,0.00016
387,287.5,0.000152
388,288.5,0.000144
389,289.5,0.000136
390,290.5,0.000128
391,291.5,0.000121
392,292.5,0.0001139999999999
393,293.5,0.000108
394,294.5,0.000102
395,295.5,9.6e-05
396,296.5,9.1e-05
397,297.5,8.499999999999999e-05
398,298.5,8e-05
399,299.5,7.6e-05
400,300.5,7.099999999999999e-05
401,301.5,6.7e-05
402,302.5,6.3e-05
403,303.5,5.9e-05
404,304.5,5.600000000000001e-05
405,305.5,5.2e-05
406,306.5,4.9e-05
407,307.5,4.6e-05
408,308.5,4.3e-05
409,309.5,4.1e-05
410,310.5,3.8e-05
411,311.5,3.6e-05
412,312.5,3.3e-05
413,313.5,3.1e-05
414,314.5,2.9e-05
415,315.5,2.7e-05
416,316.5,2.6e-05
417,317.5,2.4e-05
418,318.5,2.2e-05
419,319.5,2.1e-05
420,320.5,2e-05
421,321.5,1.8e-05
422,322.5,1.7e-05
423,323.5,1.6e-05
424,324.5,1.5e-05
425,325.5,1.4e-05
426,326.5,1.3e-05
427,327.5,1.2e-05
428,328.5,1.1e-05
429,329.5,1e-05
430,330.5,1e-05
431,331.5,9e-06
432,332.5,8e-06
433,333.5,8e-06
434,334.5,7.000000000000003e-06
435,335.5,7.000000000000003e-06
436,336.5,6e-06
437,337.5,6e-06
438,338.5,5e-06
439,339.5,5e-06
440,340.5,5e-06
441,341.5,4e-06
442,342.5,4e-06
443,343.5,4e-06
444,344.5,3e-06
445,345.5,3e-06
446,346.5,3e-06
447,347.5,3e-06
448,348.5,2e-06
449,349.5,2e-06
450,350.5,2e-06
451,351.5,2e-06
452,352.5,2e-06
453,353.5,2e-06
454,354.5,1e-06
455,355.5,1e-06
456,356.5,1e-06
457,357.5,1e-06
458,358.5,1e-06
459,359.5,1e-06
460,360.5,1e-06
461,361.5,1e-06
462,362.5,1e-06
463,363.5,1e-06
464,364.5,1e-06
465,365.5,1e-06
466,366.5,1e-06
467,367.5,0.0
468,368.5,0.0
469,369.5,0.0
470,370.5,0.0
471,371.5,0.0
472,372.5,0.0
473,373.5,0.0
474,374.5,0.0
475,375.5,0.0
476,376.5,0.0
477,377.5,0.0
478,378.5,0.0
479,379.5,0.0
480,380.5,0.0
481,381.5,0.0
482,382.5,0.0
483,383.5,0.0
484,384.5,0.0
485,385.5,0.0
486,386.5,0.0
487,387.5,0.0
488,388.5,0.0
489,389.5,0.0
490,390.5,0.0
491,391.5,0.0
492,392.5,0.0
493,393.5,0.0
494,394.5,0.0
495,395.5,0.0
496,396.5,0.0
497,397.5,0.0
498,398.5,0.0
499,399.5,0.0
500,400.5,0.0
501,401.5,0.0
502,402.5,0.0
503,403.5,0.0
504,404.5,0.0
505,405.5,0.0
506,406.5,0.0
507,407.5,0.0
508,408.5,0.0
509,409.5,0.0
510,410.5,0.0
511,411.5,0.0
512,412.5,0.0
513,413.5,0.0
514,414.5,0.0
515,415.5,0.0
516,416.5,0.0
517,417.5,0.0
518,418.5,0.0
519,419.5,0.0
520,420.5,0.0
521,421.5,0.0
522,422.5,0.0
523,423.5,0.0
524,424.5,0.0
525,425.5,0.0
526,426.5,0.0
527,427.5,0.0
528,428.5,0.0
529,429.5,0.0
530,430.5,0.0
531,431.5,0.0
532,432.5,0.0
533,433.5,0.0
534,434.5,0.0
535,435.5,0.0
536,436.5,0.0
537,437.5,0.0
538,438.5,0.0
539,439.5,0.0
540,440.5,0.0
541,441.5,0.0
542,442.5,0.0
543,443.5,0.0
544,444.5,0.0
545,445.5,0.0
546,446.5,0.0
547,447.5,0.0
548,448.5,0.0
549,449.5,0.0
550,450.5,0.0
551,451.5,0.0
552,452.5,0.0
553,453.5,0.0
554,454.5,0.0
555,455.5,0.0
556,456.5,0.0
557,457.5,0.0
558,458.5,0.0
559,459.5,0.0
560,460.5,0.0
561,461.5,0.0
562,462.5,0.0
563,463.5,0.0
564,464.5,0.0
565,465.5,0.0
566,466.5,0.0
567,467.5,0.0
568,468.5,0.0
569,469.5,0.0
570,470.5,0.0
571,471.5,0.0
572,472.5,0.0
573,473.5,0.0
574,474.5,0.0
575,475.5,0.0
576,476.5,0.0
577,477.5,0.0
578,478.5,0.0
579,479.5,0.0
580,480.5,0.0
581,481.5,0.0
582,482.5,0.0
583,483.5,0.0
584,484.5,0.0
585,485.5,0.0
586,486.5,0.0
587,487.5,0.0
588,488.5,0.0
589,489.5,0.0
590,490.5,0.0
591,491.5,0.0
592,492.5,0.0
593,493.5,0.0
594,494.5,0.0
595,495.5,0.0
596,496.5,0.0
597,497.5,0.0
598,498.5,0.0
599,499.5,0.0
600,500.5,0.0
601,501.5,0.0
602,502.5,0.0
603,503.5,0.0
604,504.5,0.0
605,505.5,0.0
606,506.5,0.0
607,507.5,0.0
608,508.5,0.0
609,509.5,0.0
610,510.5,0.0
611,511.5,0.0
612,512.5,0.0
613,513.5,0.0
614,514.5,0.0
615,515.5,0.0
616,516.5,0.0
617,517.5,0.0
618,518.5,0.0
619,519.5,0.0
620,520.5,0.0
621,521.5,0.0
622,522.5,0.0
623,523.5,0.0
624,524.5,0.0
625,525.5,0.0
626,526.5,0.0
627,527.5,0.0
628,528.5,0.0
629,529.5,0.0
630,530.5,0.0
631,531.5,0.0
632,532.5,0.0
633,533.5,0.0
634,534.5,0.0
635,535.5,0.0
636,536.5,0.0
637,537.5,0.0
638,538.5,0.0
639,539.5,0.0
640,540.5,0.0
641,541.5,0.0
642,542.5,0.0
643,543.5,0.0
644,544.5,0.0
645,545.5,0.0
646,546.5,0.0
647,547.5,0.0
648,548.5,0.0
649,549.5,0.0
650,550.5,0.0
651,551.5,0.0
652,552.5,0.0
653,553.5,0.0
654,554.5,0.0
655,555.5,0.0
656,556.5,0.0
657,557.5,0.0
658,558.5,0.0
659,559.5,0.0
660,560.5,0.0
661,561.5,0.0
662,562.5,0.0
663,563.5,0.0
664,564.5,0.0
665,565.5,0.0
666,566.5,0.0
667,567.5,0.0
